(33.47,329.96,690.64,1.00) (33.470,329.964,690.636)
(422.49,206.27,250.13,1.00) (422.487,206.265,250.128)
(636.56,863.62,301.66,1.00) (636.559,863.622,301.656)
(24.92,364.99,765.38,1.00) (24.924,364.993,765.381)
(317.86,135.73,106.75,1.00) (317.860,135.728,106.745)
(760.67,81.67,550.96,1.00) (760.672,81.672,550.956)
(564.65,743.27,981.76,1.00) (564.652,743.271,981.760)
(218.85,454.40,518.65,1.00) (218.850,454.396,518.654)
(573.84,555.23,728.55,1.00) (573.842,555.231,728.546)
(628.87,796.13,583.72,1.00) (628.874,796.128,583.716)
(274.77,829.60,913.68,1.00) (274.766,829.598,913.680)
(965.40,252.08,119.95,1.00) (965.402,252.085,119.945)
(215.53,888.64,983.57,1.00) (215.531,888.643,983.568)
(517.19,913.57,348.56,1.00) (517.186,913.567,348.560)
(282.57,231.43,484.29,1.00) (282.567,231.427,484.289)
(389.31,992.10,565.96,1.00) (389.312,992.099,565.961)
(940.27,556.75,309.23,1.00) (940.269,556.751,309.231)
(922.03,775.60,763.63,1.00) (922.029,775.601,763.627)
(440.68,349.44,318.86,1.00) (440.683,349.442,318.858)
(169.23,978.32,114.99,1.00) (169.229,978.316,114.987)
(752.94,253.08,944.58,1.00) (752.945,253.083,944.585)
(666.62,218.48,196.67,1.00) (666.625,218.485,196.669)
(786.57,434.02,85.31,1.00) (786.570,434.016,85.313)
(770.14,951.20,998.88,1.00) (770.138,951.202,998.880)
(118.70,233.77,230.31,1.00) (118.698,233.769,230.307)
(602.99,623.08,222.41,1.00) (602.987,623.081,222.406)
(168.95,563.35,779.16,1.00) (168.947,563.350,779.157)
(478.18,485.38,554.76,1.00) (478.179,485.379,554.758)
(241.81,926.06,904.20,1.00) (241.806,926.062,904.201)
(560.66,95.29,882.52,1.00) (560.665,95.291,882.517)
(675.65,848.24,135.60,1.00) (675.651,848.236,135.600)
(620.24,514.86,354.08,1.00) (620.236,514.861,354.085)
(816.91,301.43,788.10,1.00) (816.905,301.431,788.100)
(902.22,71.57,739.30,1.00) (902.218,71.569,739.302)
(901.10,190.27,973.07,1.00) (901.098,190.266,973.071)
(131.41,793.25,596.15,1.00) (131.405,793.253,596.153)
(353.81,962.20,159.50,1.00) (353.811,962.201,159.503)
(132.97,440.38,644.88,1.00) (132.969,440.379,644.882)
(687.73,682.19,570.94,1.00) (687.727,682.186,570.944)
(591.93,242.85,666.23,1.00) (591.927,242.850,666.234)
(474.44,918.50,514.47,1.00) (474.444,918.502,514.470)
(610.04,538.74,29.33,1.00) (610.044,538.737,29.331)
(964.13,355.64,330.76,1.00) (964.129,355.643,330.762)
(752.23,257.86,402.33,1.00) (752.229,257.860,402.331)
